Soil_Type,Additive_Type,Additive_Proportion (%),Moisture_Content (%),Comp_Strength (MPa)
Sand,Fly Ash,15.472425710296177,8.702658576772393,4.621096024116698
Gravel,Lime,13.041445495161806,15.838018947567162,3.2673654765895046
Clay,Lime,9.642914244294916,22.458916717528165,0.5
Sand,Bitumen,17.20692529560423,19.644497728191226,3.6962332640275157
Sand,Fly Ash,15.270967588308189,21.131222957228996,3.6087438195917194
Gravel,Lime,7.439254090173369,18.175667334214346,1.5633971233091186
Clay,Bitumen,18.663907767407636,18.84553129035705,5.0
Clay,Fly Ash,17.338058643847535,21.983913031306386,4.034870085388537
Sand,Bitumen,19.24699869937886,9.99336017718372,5.0
Silt,Cement,15.885792625825399,14.78849927286281,5.0
Sand,Lime,14.201227939036848,9.424188836392045,4.844142398254116
Sand,Cement,11.273645544359283,24.75336015993294,3.952969634078312
Sand,Fly Ash,18.9909272503102,23.881186793732265,5.0
Sand,Cement,17.990958342506126,5.788536227370118,3.4607208892487344
Gravel,Cement,5.678280051592841,19.11150345031377,0.6390019594755846
Clay,Fly Ash,5.39550461745878,23.504966348313317,0.5
Gravel,Bitumen,10.646950503170743,8.61150690254667,3.9006026956319237
Gravel,Cement,17.158299961727494,16.358904611052587,5.0
Gravel,Bitumen,19.809141939724167,23.309765951760838,3.6236544671730107
Sand,Cement,7.256253366552922,5.678919571715976,4.927869456137742
Silt,Bitumen,13.911960730282027,18.9484053449368,1.8055338339490643
Clay,Fly Ash,10.713362849465323,10.946980147451015,5.0
Silt,Cement,19.548715967219046,23.487923907530607,3.8764678864858664
Gravel,Fly Ash,17.631783847035628,24.421164903307357,2.0228132659491225
Gravel,Cement,17.574930570667068,23.885329782268677,3.005310144292257
Silt,Fly Ash,12.030397396924554,14.484284333149276,3.1955152780408547
Silt,Fly Ash,11.222292535064977,22.240853019786268,1.4350054754639965
Silt,Cement,9.101106078960594,21.890987970701406,1.1088010423830774
Gravel,Cement,5.845632449763906,11.382009464865114,4.244826682328727
Gravel,Cement,17.9708356438258,21.57830948301355,4.936880600216808
Clay,Lime,17.193515136951163,5.740152694309852,4.257661494672066
Clay,Bitumen,19.995765099291958,16.92539756964106,5.0
Gravel,Lime,19.94955255610858,9.60017674575406,5.0
Silt,Lime,13.331475584039412,7.411337715545576,3.9985221521857985
Silt,Fly Ash,16.534811227707657,6.539064032584183,5.0
Clay,Cement,19.17148594823642,18.925775517562794,2.806693138365607
Gravel,Bitumen,17.74471086016117,11.797499275361323,3.270569207077803
Clay,Fly Ash,8.710221526147965,19.49533543057523,3.40061304653768
Clay,Lime,11.758162029651402,6.307126815978847,2.5013227829699134
Sand,Cement,6.937391227272425,11.305806756612206,1.6594575545477313
Sand,Fly Ash,19.310765408880833,15.789825847506744,5.0
Sand,Cement,14.0926195167632,20.814463296779273,2.169991148144158
Silt,Fly Ash,8.42964208255194,11.3750500586414,2.419862181205395
Gravel,Cement,15.075510266087852,17.51782752874018,2.4129864746447205
Gravel,Lime,14.271923606868437,22.71955496472374,5.0
Gravel,Bitumen,10.372440770492608,17.31726376364609,4.047464922829423
Gravel,Lime,6.703363882994435,9.659189495072676,4.512117154917535
Sand,Bitumen,15.073597933891994,5.488015631130761,5.0
Silt,Cement,12.8046155135569,22.401977478018598,0.9246335322037865
Silt,Fly Ash,16.58477587603459,5.425388217007743,5.0
Sand,Lime,12.802452516679901,22.49403345368399,4.76942010833527
Silt,Bitumen,17.7827225047781,15.57874268054424,4.80632742023456
Sand,Lime,13.278602581617283,23.781353970257925,4.222563225627204
Gravel,Bitumen,13.414069573030794,20.975664715473307,4.587512223997306
Sand,Lime,18.149804039875175,24.95868221066675,2.7217867186759532
Gravel,Bitumen,11.052242993185956,12.014236309034203,3.275565976555571
Gravel,Bitumen,7.01022842675961,20.34376577862254,2.7786231938771455
Clay,Cement,5.431740144700084,13.038618272184843,2.00593756478856
Sand,Bitumen,16.327058835104285,14.597512406078177,5.0
Clay,Cement,14.30464327030197,17.5501092643674,4.874426378566375
Sand,Bitumen,15.561196521488354,22.473542283726776,3.396836171360804
Sand,Fly Ash,8.194462422633661,24.681669383985902,0.69772446300691
Clay,Fly Ash,7.045572133801547,20.365468277290365,3.2946924608333386
Clay,Fly Ash,5.218169985018229,13.355335643346676,3.041281376558021
Sand,Bitumen,10.258813382098955,13.427140045541403,5.0
Silt,Cement,13.848765302819496,19.75164603177783,2.8255150737579564
Gravel,Cement,10.883660676495985,9.775542915366046,4.489973592471438
Clay,Bitumen,11.562123830355937,7.209482262627893,3.0956083066627826
Gravel,Fly Ash,18.562380417406224,12.09244315281553,5.0
